,Field,Count
0,pdl_id,100%
1,name,99.%
2,domain,76.%
3,industry,96.%
4,country,67.%
5,locality,64.%
6,linkedin,100%
7,employee_counts,100%
8,raw_street_address,59.%
9,description,65.%
10,lid,82.%
11,founded,49.%
12,tags,35.%
13,facebook,5.5%
14,twitter,7.6%
15,domain_redirect,5.2%
